Code postal 2015	Libellé poste	Population 2012 desservie par le code postal	Population 2012 desservie par le code géo PMSI	Code géographique PMSI 2015	"* Mayotte et Polynésie Française Recensement quinquennal 2012/ Wallis et Futuna Recensement quinquennal 2013/ Nouvelle-Calédonie Recensement quinquennal 2009


"
59225	CLARY	 1 716	 1 716	59225	
59226	LECELLES	 4 288	 4 288	59226	
59227	SAULZOIR	 2 866	 2 866	59227	
59229	TETEGHEM	 8 373	 8 373	59229	
59230	ST AMAND LES EAUX	 21 389	 21 389	59230	
59232	VIEUX BERQUIN	 2 499	 2 499	59232	
59233	MAING	 4 047	 4 047	59233	
59234	MONCHECOURT	 4 023	 4 023	59234	
59235	BERSEE	 2 238	 2 238	59235	
59236	FRELINGHIEN	 2 438	 2 438	59236	
59237	VERLINGHEM	 2 330	 2 330	59237	
59238	MARETZ	 1 485	 1 485	59238	
59239	THUMERIES	 4 609	 4 609	59239	
59241	MASNIERES	 2 650	 2 650	59241	
59242	TEMPLEUVE	 10 702	 10 702	59242	
59243	QUAROUBLE	 3 058	 3 058	59243	
59244	CARTIGNIES	 2 067	 2 067	59244	
59245	RECQUIGNIES	 2 380	 2 380	59245	
59246	MONS EN PEVELE	 2 143	 2 143	59246	
59247	FECHAIN	 2 429	 2 429	59247	
59249	AUBERS	 2 403	 2 403	59249	
59250	HALLUIN	 20 770	 20 770	59250	
59251	ALLENNES LES MARAIS	 3 357	 3 357	59251	
59252	MARQUETTE EN OSTREVANT	 3 006	 3 006	59252	
59253	LA GORGUE	 5 923	 5 923	59253	
59254	GHYVELDE	 3 213	 3 213	59254	
59255	HAVELUY	 3 089	 3 089	59255	
59258	LES RUES DES VIGNES	 1 824	 1 824	59258	
59259	LECLUSE	 1 379	 1 379	59259	
59260	LEZENNES	 3 135	 3 135	59260	
59261	WAHAGNIES	 2 616	 2 616	59261	
59262	SAINGHIN EN MELANTOIS	 2 524	 2 524	59262	
59263	HOUPLIN ANCOISNE	 3 464	 3 464	59263	
59264	ONNAING	 8 715	 8 715	59264	
59265	AUBIGNY AU BAC	 1 690	 1 690	59265	
59266	HONNECOURT SUR ESCAUT	 1 505	 1 505	59266	
59267	PROVILLE	 3 914	 3 914	59267	
59268	FRESSIES	 2 283	 2 283	59268	
59269	ARTRES	 2 608	 2 608	59269	
59270	BAILLEUL	 23 874	 23 874	59270	
59271	VIESLY	 1 477	 1 477	59271	
59272	DON	 1 372	 1 372	59272	
59273	FRETIN	 4 224	 4 224	59273	
59274	MARQUILLIES	 1 991	 1 991	59274	
59277	RIEUX EN CAMBRESIS	 1 511	 1 511	59277	
59278	ESCAUTPONT	 4 186	 4 186	59278	
59279	LOON PLAGE	 6 986	 6 986	59279	
59280	ARMENTIERES	 27 505	 27 505	59280	
59281	RUMILLY EN CAMBRESIS	 1 460	 1 460	59281	
59282	DOUCHY LES MINES	 11 491	 11 491	59282	
59283	RAIMBEAUCOURT	 5 536	 5 536	59283	
59285	ARNEKE	 3 088	 3 088	59285	
59286	ROOST WARENDIN	 6 178	 6 178	59286	
59287	GUESNAIN	 7 337	 7 337	59287	
59290	WASQUEHAL	 20 536	 20 536	59290	
59292	ST HILAIRE LEZ CAMBRAI	 1 652	 1 652	59292	
59293	NEUVILLE SUR ESCAUT	 2 580	 2 580	59293	
59294	HAUSSY	 1 547	 1 547	59294	
59295	PAILLENCOURT	 1 695	 1 695	59295	
59296	AVESNES LE SEC	 1 405	 1 405	59296	
59299	BOESCHEPE	 2 188	 2 188	59299	
59300	VALENCIENNES	 52 902	 52 902	59300	
59310	ORCHIES	 26 357	 26 357	59310	
59320	HAUBOURDIN	 29 998	 29 998	59320	
59330	HAUTMONT	 18 941	 18 941	59330	
59350	ST ANDRE LEZ LILLE	 11 246	 11 246	59350	
